User_name,Datetime,Content,Links,Tweet_ID
bigticketshow,2020-12-29T23:59:47.000Z,Golf was my salvation after getting laid off for 7months due to Covid.  Thank God for  @RoyalwoodGC  being the best deal in the lower mainland so I could afford to get out once a week and escape,https://x.com/RoyalwoodGC,1344070644586070016
Callendergirl91,2020-12-29T23:59:47.000Z,"Let’s see we had Elizabeth Warren saying she’s a Native American, we have Alec Baldwin wife claiming to be Hispanic, we also have Kamala Harris claiming to African American .. now we have the Flu pretending to be Covid.. this world is full of FAKE everything even Fake News",,1344070644498051072
sirjustcalmdown,2020-12-29T23:59:47.000Z,If Americans can't understand the need for gun control they will never be able to understand what needs to be done to control Covid....#USA is a failed state and crumbles as we look on,https://x.com/hashtag/USA?src=hashtag_click,1344070643310968832
lydiautami21,2020-12-29T23:59:47.000Z,Source  government.nl/latest/news/20 …,https://t.co/HA6ehYpPb7,1344070642853928963
vjseymour,2020-12-29T23:59:47.000Z,"All Cause of IDIOT'S JjHorgan,Trudeau =Dumb&Dumber went with Their Phases,did NOT QUARANTINE All Long enough,Yet Opens Up Businesses too soon,Should b Take Out ONLY. They Still Allowing Outta Province,Country Vehicles,Peoples here by Ferries, Planes etc..and Look at B.C. now",,1344070642308530176
robijto,2020-12-29T23:59:47.000Z,Thank you!! And this is going to take a significant amount of time so PLEASE ramp up the production of USA made N95 masks so that they’re available to all of us who need them. Most of what is worn (if at all) are worthless in preventing the spread.,,1344070641796857857
kelseystoner2,2020-12-29T23:59:47.000Z,"People who decided to throw big weddings this year during a pandemic that’s killed over 340,000 Americans so far:  Do you think it’ll be embarrassing to show your 2020 wedding pics to your kids when they learn about the pandemic in history class???",,1344070640635170818
Felicia79078079,2020-12-29T23:59:46.000Z,I’m a health care worker I got my first dose of the vaccine today thank you  @realDonaldTrump,https://x.com/realDonaldTrump,1344070640001712129
fungus_x,2020-12-29T23:59:46.000Z,"""not unfounded""?? So you just repeat shit you see on facebook.  Asthma is a underlying health condition and very rarely causes death but with covid.......... Being fat is a underlying health condition.... Use logical thought, be like the ancient greeks",,1344070639896776707
CTVCalgary,2020-12-29T23:59:46.000Z,Updated: Alberta COVID-19 cases drop as 17K Moderna vaccines arrive in province. From  @Halfstep  and  @Dave_Dormer : #yyc,https://x.com/Halfstep https://x.com/Dave_Dormer https://x.com/hashtag/yyc?src=hashtag_click,1344070639565606912
realsydroc,2020-12-29T23:59:46.000Z,Has your local government mentioned #VitaminD yet? Here in Quebec we'll be in lockdown for God knows how long and I haven't heard it mentioned once. It's almost as if our health wasn't their top priority.    #covid19 #coronavirus #covid19qc #VitamineD nature.com/articles/s4159 …,https://x.com/hashtag/VitaminD?src=hashtag_click https://x.com/hashtag/covid19?src=hashtag_click https://x.com/hashtag/coronavirus?src=hashtag_click https://x.com/hashtag/covid19qc?src=hashtag_click https://x.com/hashtag/VitamineD?src=hashtag_click https://t.co/uV5fkmbw2p,1344070639347523585
samuelluckhurst,2020-12-29T23:59:46.000Z,Solskjaer against 'circuit break' idea floated by Allardyce. It is not a coincidence that some clubs with lots to lose have been at the forefront of resisting restarts/proposing breaks #mufc,https://x.com/hashtag/mufc?src=hashtag_click,1344070638877732864
LegalRok,2020-12-29T23:59:46.000Z,Nor would Covid be in the late 18th century,,1344070638273667072
PeaseRoland,2020-12-29T23:59:46.000Z,"Given how quickly the variant has gained ground in SE England, it shld be quite visible if spreading long elsewhere. Here's  @trvrb 's estimate for the US",https://x.com/trvrb,1344070637338456077
goldenbelIerz,2020-12-29T23:59:46.000Z,the way this vaccine abt to be extinct once this new strain clocks in :/,,1344070637111787520
starrboi_x,2020-12-29T23:59:45.000Z,like I’ll be feeling offf and I’m like is it the full moons astrologically? But it’s the body letting me know  the mild headaches and body pains make me think it’s covid for a sec,,1344070636075794433
sabrinak718,2020-12-29T23:59:45.000Z,Schools may be closed for the holidays but #COVID19 does not care. Does over 12k lost mean mandating only #virtuallearning is a good idea? How about over 2mm cases in children making 12.4% of all cases in kids cnn.com/world/live-new …,https://x.com/hashtag/COVID19?src=hashtag_click https://x.com/hashtag/virtuallearning?src=hashtag_click https://t.co/faY9MYKHx3,1344070635606126593
magichands34,2020-12-29T23:59:45.000Z,"Healthy teen dies after COVID-19 ‘ate her through,’ family says #SmartNews I always tell my 19 year old twins to keep wearing those masks, they aren’t exempt because they are young. This is so sad   nypost.com/2020/12/29/hea …",https://x.com/hashtag/SmartNews?src=hashtag_click https://t.co/bDeHFouqHg,1344070634758959105
HwLufc,2020-12-29T23:59:45.000Z,Only won the league because of Covid? #Karenstrikesagain #COVID19 #ALAW #lufc #MOT #LeedsUnited #Leeds,https://x.com/hashtag/Karenstrikesagain?src=hashtag_click https://x.com/hashtag/COVID19?src=hashtag_click https://x.com/hashtag/ALAW?src=hashtag_click https://x.com/hashtag/lufc?src=hashtag_click https://x.com/hashtag/MOT?src=hashtag_click https://x.com/hashtag/LeedsUnited?src=hashtag_click https://x.com/hashtag/Leeds?src=hashtag_click,1344070634494681089
dehhartman,2020-12-29T23:59:45.000Z,"Trump relents as inexplicably as he resisted; COVID-19 help is back on, but not without problems  dailykos.com/story/2020/12/ …",https://t.co/wMFHFvQVhk,1344070632716312576
3DTruth,2020-12-29T23:59:45.000Z,"After 4 years of having a sociopath ""president"" I'm convinced trump is making distribution of the vaccine as difficult as possible bc he wants to leave the country the biggest mess possible for Biden.   Human life means nothing to him. Vindictiveness is all he knows.",,1344070632607125506
delayedco,2020-12-29T23:59:44.000Z,"I asked some relatives in SC if they’ll be getting the vaccine since they’re older. They have no idea where they’d get it or how to find out if they can get it, or if it’s even available to them.",,1344070632196210693
ben_ouyang,2020-12-29T23:59:44.000Z,"Fewer Americans (56%) would get a covid-19 vaccine now than in April (74%). Female, Black, or younger people were less likely than their counterparts to want a vaccine.  For those that are hesitant: why? Honest question! jamanetwork.com/journals/jama/ …",https://t.co/rYjmsdJJns,1344070631353147396
heyjudenyc,2020-12-29T23:59:44.000Z,Coronavirus updates: Vaccinations lag as hospitalizations hover near record high  washingtonpost.com/nation/2020/12 …,https://t.co/TGkxncFYs9,1344070630858059776
Normaaantheman,2020-12-29T23:59:44.000Z,Spread this news far and wide!!! This vaccine propaganda is ridiculous!!!,,1344070630547795969
pardonanigga,2020-12-29T23:59:44.000Z,Nigga smelled mad loud. Smelled it through my mask,,1344070628236791809
Ms_Dani_,2020-12-29T23:59:43.000Z,No they didn't.  The US made an advanced deal to pay $1.95b to Pfizer to deliver 100 million doses of the vaccine.  A sum that wont be paid until the vaccine is delivered.  Trump had nothing to do with it.,,1344070627997569024
sarahhealy2410,2020-12-29T23:59:43.000Z,I love the enthusiasm but as someone who was stuck in the Melbourne lockdown for four months y’all gonna need more than three months,,1344070627670581251
liverpool4ever2,2020-12-29T23:59:43.000Z,We now need a total lockdown and people to actually take notice and abide by the rules.  If carries on at this rate the #NHS simply will not be able to cope. #Covid19UK BBC News - Covid: UK surge in cases an 'extreme concern' bbc.co.uk/news/uk-554752 …,https://x.com/hashtag/NHS?src=hashtag_click https://x.com/hashtag/Covid19UK?src=hashtag_click https://t.co/eFcRtalTsK,1344070626911391745
oldivory,2020-12-29T23:59:43.000Z,Young man with new COVID variant has no travel history.,,1344070626554892288
MarxistBunch,2020-12-29T23:59:43.000Z,And it doesn't even have to be your cat. I mean I guess during COVID we shouldn't be petting all the cats. But hells yeah!,,1344070626143694849
stevenson_emma,2020-12-29T23:59:43.000Z,"I get vaccinated in 15 hours and you can bet your ASS I’m still wearing an N95 to protect myself, you, and my patients  So stay home and wear your mask when you can’t or I’ll kick your ass",,1344070625778921475
All_OverVuitton,2020-12-29T23:59:43.000Z,Two words: Dumb Ass. In the middle of a pandemic you don’t only put yourself at risk but others as well.,,1344070625510481920
PamGerity,2020-12-29T23:59:43.000Z,"Why?  All of them have gotten the vaccine, while my 87-year-old uncle waits.",,1344070625288220673
Computergeek64,2020-12-29T23:59:43.000Z,ER nurse tests positive for COVID-19 eight days after receiving vaccine   10news.com/news/local-new …,https://t.co/tGctl0oHqx,1344070625107861515
L_B_N_J,2020-12-29T23:59:43.000Z,I am so sorry others are making you additionally anxious. No one else wears a mask in the park I walk in every day. I just don’t understand it.,,1344070624742944769
Von_Mongoose,2020-12-29T23:59:42.000Z,And that's not considering the possibility of mutations not bothered by the vaccine! Nature wants us gone and with all right.,,1344070623107100673
kimsteerr,2020-12-29T23:59:42.000Z,Lowkey I am extremely anal about Covid and if you feel like I’m judging. I probably am.,,1344070622494609408
camvinay,2020-12-29T23:59:42.000Z,& wear the mask properly. It’s not a chin strap,,1344070622364774400
mmkayrulz,2020-12-29T23:59:42.000Z,Get more Covid?,,1344070621542588417
AJackso63831215,2020-12-29T23:59:42.000Z,"I never know what decade to start counting from- when I go with 40 years, I’m starting when #vaccine makers of the #ALDF, #AmericanLymeDiseaseFoundation, reversed #lymeDisease medicine. Alan Steere had found #lyme to be seronegative- & can’t have a vac if false negatives.CoverUp",https://x.com/hashtag/vaccine?src=hashtag_click https://x.com/hashtag/ALDF?src=hashtag_click https://x.com/hashtag/AmericanLymeDiseaseFoundation?src=hashtag_click https://x.com/hashtag/lymeDisease?src=hashtag_click https://x.com/hashtag/lyme?src=hashtag_click,1344070620963864578
GuardianUS,2020-12-29T23:59:42.000Z,Biden criticises Trump over slow Covid-19 vaccine rollout – video,,1344070620791906304
RebeccaRebelCan,2020-12-29T23:59:42.000Z,"I don't like the Ontario lockdown.  Again I understand why.  My right lens popped out of my glasses. Same side as last time. They even replaced with new frame.  I called, they're closed until at least January 26. I'm not allowed to tape it or void warranty.",,1344070620557021184
eimayorga,2020-12-29T23:59:42.000Z,How the Pandemic Is Imperiling a Working-Class College in PA  nytimes.com/2020/12/28/us/ …,https://t.co/UpHalCO5Yj,1344070619781095425
tiktokinsiders,2020-12-29T23:59:41.000Z,so now that we are using twitter alot heres a rant... why do ppl act like we need to depend on tea pages to keep track of everyone that isnt social distancing  some of yall dislike them yet check them every day but why cant ppl also do stuff without tea pages LOL,,1344070619101585408
LindaGlassop,2020-12-29T23:59:41.000Z,It’s 10AM AEST and I ca t find any  @NSWHealth  Covid data today. WTF are you doing  @NSWHealth,https://x.com/NSWHealth https://x.com/NSWHealth,1344070615687294976
